point_type,point_id,x_ned,y_ned,latitude,longitude,origin_latitude,origin_longitude
100,9,-5.413842735823835,-4.468896283071562,30.39447836634112,-88.9016275415948,30.394527,-88.901581
100,10,-4.440755180024524,-1.9104398520431145,30.39448710778607,-88.90160089639316,30.394527,-88.901581
100,11,-4.170242898315356,-0.29122329409314607,30.39448953785334,-88.90158403296287,30.394527,-88.901581
100,12,-4.1751049052049165,0.992595024613675,30.394489494176934,-88.90157066255814,30.394527,-88.901581
100,13,-4.777137538701036,5.917700832406503,30.3944840859944,-88.90151936974121,30.394527,-88.901581
100,0,-37.41014740787344,-22.65849345880728,30.3941909369785,-88.90181697827178,30.394527,-88.901581
100,1,-28.447580722843988,-29.97525830812716,30.39427144955194,-88.9018931791687,30.394527,-88.901581
100,2,-24.091064589516726,-25.86368383098271,30.39431058502925,-88.90185035892377,30.394527,-88.901581
100,3,-22.914430763639125,-26.465309343099527,30.39432115497206,-88.90185662458961,30.394527,-88.901581
100,4,-21.939240409754056,-27.28459618684135,30.394329915306876,-88.90186515710278,30.394527,-88.901581
100,5,-20.924605592107127,-28.89198433208854,30.3943390299794,-88.90188189734533,30.394527,-88.901581
100,6,-20.229840585115483,-30.61783192827037,30.39434527119585,-88.90189987129112,30.394527,-88.901581
100,7,-18.98752486758209,-36.2452159114498,30.394356431172557,-88.90195847802725,30.394527,-88.901581
100,8,-13.24763031267434,-57.97606689783377,30.394407993821755,-88.90218479530954,30.394527,-88.901581
100,9,-4.076066850120155,-84.81706208835055,30.39449038385608,-88.90246433250249,30.394527,-88.901581
100,10,-2.506561906436273,-93.85883733219146,30.394504483040667,-88.9025584986261,30.394527,-88.901581
100,11,-0.7253750549764426,-105.22243010439269,30.394520483807213,-88.90267684546097,30.394527,-88.901581
100,12,0.5123813425872559,-115.6558949059642,30.394531602826614,-88.90278550542095,30.394527,-88.901581
100,13,1.3558764847092402,-125.41662045320658,30.394539180116354,-88.90288715909666,30.394527,-88.901581
100,14,2.0659176075998236,-135.19781500951697,30.394545558561287,-88.90298902594812,30.394527,-88.901581
100,0,12.739096640749688,-136.65606329154917,30.394641437916043,-88.90300421296442,30.394527,-88.901581
100,1,11.800218278301914,-126.62906702789573,30.394633003779287,-88.90289978619599,30.394527,-88.901581
100,2,10.923503792395755,-116.6178006790197,30.394625128073375,-88.9027955232477,30.394527,-88.901581
100,3,9.919055434983742,-107.76184293635319,30.394616104907918,-88.90270329233188,30.394527,-88.901581
100,4,8.532887874149301,-97.42256366751096,30.39460365268062,-88.90259561327291,30.394527,-88.901581
100,5,7.351597922997952,-89.86803446157509,30.394593040910877,-88.90251693616449,30.394527,-88.901581
100,6,5.341341247679596,-77.59869275171988,30.394574982363153,-88.90238915635169,30.394527,-88.901581
100,7,3.3232287595581482,-68.99560536087299,30.394556853245053,-88.90229955896966,30.394527,-88.901581
100,8,-4.393296959444639,-35.84753912566271,30.394487534112994,-88.90195433639794,30.394527,-88.901581
100,9,-4.98829110094192,-33.076809734049,30.394482189158673,-88.90192548046652,30.394527,-88.901581
100,10,-5.077382342382273,-31.748969611922128,30.394481388833793,-88.901911651594,30.394527,-88.901581
100,11,-4.780196231534426,-30.013748321354534,30.394484058517534,-88.9018935800253,30.394527,-88.901581
100,12,-4.214071539388597,-29.341705931645116,30.394489144131672,-88.90188658099855,30.394527,-88.901581
100,13,-2.8215238837313628,-28.20435161529634,30.394501653672673,-88.90187473595218,30.394527,-88.901581
100,14,-1.57883914713282,-27.694436100074213,30.394512816964355,-88.90186942540572,30.394527,-88.901581
100,15,-0.6596017484599361,-27.806686509624328,30.394521074662308,-88.9018705944445,30.394527,-88.901581
100,16,0.8143296415498309,-28.26848754422639,30.39453431529007,-88.90187540389974,30.394527,-88.901581
100,17,2.1719252647388245,-29.578954723419535,30.394546510849796,-88.90188905184067,30.394527,-88.901581
100,18,2.9224632500822008,-31.225018826937834,30.394553253086343,-88.90190619487637,30.394527,-88.901581
100,19,3.474342781638123,-33.43901011205866,30.394558210733287,-88.9019292526246,30.394527,-88.901581
100,20,6.0990082846805205,-53.00073843110281,30.394581788641435,-88.90213297944564,30.394527,-88.901581
100,21,7.940865411261553,-66.04721589364445,30.394598334421495,-88.90226885278646,30.394527,-88.901581
100,22,10.275169257003045,-80.77260674540727,30.394619303951366,-88.90242221127392,30.394527,-88.901581
100,23,13.510815469437977,-102.82712526729003,30.39464837042445,-88.90265189941162,30.394527,-88.901581
100,24,17.20516937198647,-124.85010630757264,30.394681557562727,-88.9028812591003,30.394527,-88.901581
100,25,19.33906430676528,-137.2701111979148,30.394700726778275,-88.90301060800405,30.394527,-88.901581
100,0,11.61222405674964,-43.04568610513936,30.394631314988665,-88.90202930194175,30.394527,-88.901581
100,1,9.711526806370388,-27.047760104695385,30.39461424063571,-88.90186269055884,30.394527,-88.901581
100,2,10.109456375261336,-26.03340831555421,30.394617815318586,-88.90185212652985,30.394527,-88.901581
100,3,10.729733220758108,-25.4030170832566,30.394623387392617,-88.90184556128163,30.394527,-88.901581
100,4,20.00975902566705,-26.097405059180204,30.394706751766396,-88.90185279302786,30.394527,-88.901581
100,5,20.812796457154178,-26.82447165204102,30.394713965616226,-88.90186036510754,30.394527,-88.901581
100,6,21.310330964483327,-27.806613404379945,30.39471843507068,-88.90187059368314,30.394527,-88.901581
100,7,21.02462706724947,-28.464757016946002,30.394715868534014,-88.90187744796022,30.394527,-88.901581
100,8,15.193096568518046,-36.015351311843496,30.394663482700352,-88.90195608408825,30.394527,-88.901581
100,9,13.362171711325809,-38.56918935373911,30.394647035127104,-88.9019826811914,30.394527,-88.901581
100,10,11.828933242271402,-43.32896684256669,30.394633261731695,-88.9020322521864,30.394527,-88.901581
100,0,10.443850215138108,0.42071218603992544,30.394620819246985,-88.90157661846709,30.394527,-88.901581
100,1,10.839676682074382,-3.462482266234015,30.394624375037264,-88.90161706023422,30.394527,-88.901581
100,2,11.446258654694804,-5.946391171691122,30.394629824087446,-88.90164292905607,30.394527,-88.901581
100,3,12.400973075715507,-7.960002706759877,30.394638400482762,-88.90166389993708,30.394527,-88.901581
100,4,13.489044467130201,-9.701719778648151,30.394648174851074,-88.9016820391565,30.394527,-88.901581
100,5,15.292225036129361,-11.640881630856608,30.39466437319169,-88.9017022346767,30.394527,-88.901581
100,6,17.400404853378802,-13.077666359745113,30.39468331140307,-88.90171719815952,30.394527,-88.901581
100,7,18.837652913370896,-13.865086798151292,30.39469622249696,-88.90172539879804,30.394527,-88.901581
100,0,27.507605073672643,-28.50606865853058,30.394774106454154,-88.90187787820285,30.394527,-88.901581
100,1,25.056136263620616,-30.27952051157427,30.394752084407397,-88.9018963479261,30.394527,-88.901581
100,2,22.611005041440634,-31.653412721340935,30.39473011929249,-88.9019106564109,30.394527,-88.901581
100,3,20.141879269075055,-34.53770430890905,30.39470793862962,-88.90194069504278,30.394527,-88.901581
100,4,17.697503385008524,-38.985978611371,30.39468598030007,-88.90198702186872,30.394527,-88.901581
100,5,15.601692529734956,-44.83874282552784,30.394667153201613,-88.9020479758411,30.394527,-88.901581
100,6,14.565420423843191,-49.63617294444257,30.3946578441569,-88.90209793897172,30.394527,-88.901581
